"peatland","date","wte","flag","year"
"BOGLK",2017-01-02,415.95,"M",2017
"BOGLK",2017-01-03,415.96,"M",2017
"BOGLK",2017-01-04,415.96,"M",2017
"BOGLK",2017-01-05,415.95,"M",2017
"BOGLK",2017-01-06,415.95,"M",2017
"BOGLK",2017-01-07,415.95,"M",2017
"BOGLK",2017-01-08,415.95,"M",2017
"BOGLK",2017-01-09,415.95,"M",2017
"BOGLK",2017-01-10,415.95,"M",2017
"BOGLK",2017-01-11,415.95,"M",2017
"BOGLK",2017-01-12,415.95,"M",2017
"BOGLK",2017-01-13,415.95,"M",2017
"BOGLK",2017-01-14,415.95,"M",2017
"BOGLK",2017-01-15,415.94,"M",2017
"BOGLK",2017-01-16,415.94,"M",2017
"BOGLK",2017-01-17,415.94,"M",2017
"BOGLK",2017-01-18,415.94,"M",2017
"BOGLK",2017-01-19,415.94,"M",2017
"BOGLK",2017-01-20,415.95,"M",2017
"BOGLK",2017-01-21,415.95,"M",2017
"BOGLK",2017-01-22,415.95,"M",2017
"BOGLK",2017-01-23,415.95,"M",2017
"BOGLK",2017-01-24,415.95,"M",2017
"BOGLK",2017-01-25,415.95,"M",2017
"BOGLK",2017-01-26,415.95,"M",2017
"BOGLK",2017-01-27,415.95,"M",2017
"BOGLK",2017-01-28,415.95,"M",2017
"BOGLK",2017-01-29,415.94,"M",2017
"BOGLK",2017-01-30,415.95,"M",2017
"BOGLK",2017-01-31,415.95,"M",2017
"BOGLK",2017-02-01,415.95,"M",2017
"BOGLK",2017-02-02,415.94,"M",2017
"BOGLK",2017-02-03,415.94,"M",2017
"BOGLK",2017-02-04,415.94,"M",2017
"BOGLK",2017-02-05,415.94,"M",2017
"BOGLK",2017-02-06,415.94,"M",2017
"BOGLK",2017-02-07,415.94,"M",2017
"BOGLK",2017-02-08,415.94,"M",2017
"BOGLK",2017-02-09,415.94,"M",2017
"BOGLK",2017-02-10,415.94,"M",2017
"BOGLK",2017-02-11,415.94,"M",2017
"BOGLK",2017-02-12,415.94,"M",2017
"BOGLK",2017-02-13,415.94,"M",2017
"BOGLK",2017-02-14,415.94,"M",2017
"BOGLK",2017-02-15,415.94,"M",2017
"BOGLK",2017-02-16,415.94,"M",2017
"BOGLK",2017-02-17,415.94,"M",2017
"BOGLK",2017-02-18,415.94,"M",2017
"BOGLK",2017-02-19,415.94,"M",2017
"BOGLK",2017-02-20,415.95,"M",2017
"BOGLK",2017-02-21,416.01,"M",2017
"BOGLK",2017-02-22,416.01,"M",2017
"BOGLK",2017-02-23,416.01,"M",2017
"BOGLK",2017-02-24,416.01,"M",2017
"BOGLK",2017-02-25,416.01,"M",2017
"BOGLK",2017-02-26,416.01,"M",2017
"BOGLK",2017-02-27,416.01,"M",2017
"BOGLK",2017-02-28,416.01,"M",2017
"BOGLK",2017-03-01,416,"M",2017
"BOGLK",2017-03-02,416,"M",2017
"BOGLK",2017-03-03,415.99,"M",2017
"BOGLK",2017-03-04,415.99,"M",2017
"BOGLK",2017-03-05,415.99,"M",2017
"BOGLK",2017-03-06,416.03,"M",2017
"BOGLK",2017-03-07,416.03,"M",2017
"BOGLK",2017-03-08,416.03,"M",2017
"BOGLK",2017-03-09,416.02,"M",2017
"BOGLK",2017-03-10,416.02,"M",2017
"BOGLK",2017-03-11,416.02,"M",2017
"BOGLK",2017-03-12,416.01,"M",2017
"BOGLK",2017-03-13,416.01,"M",2017
"BOGLK",2017-03-14,416,"M",2017
"BOGLK",2017-03-15,416,"M",2017
"BOGLK",2017-03-16,416,"M",2017
"BOGLK",2017-03-17,416,"M",2017
"BOGLK",2017-03-18,416,"M",2017
"BOGLK",2017-03-19,416.02,"M",2017
"BOGLK",2017-03-20,416.04,"M",2017
"BOGLK",2017-03-21,416.04,"M",2017
"BOGLK",2017-03-22,416.03,"M",2017
"BOGLK",2017-03-23,416.05,"M",2017
"BOGLK",2017-03-24,416.06,"M",2017
"BOGLK",2017-03-25,416.07,"M",2017
"BOGLK",2017-03-26,416.08,"M",2017
"BOGLK",2017-03-27,416.08,"M",2017
"BOGLK",2017-03-28,416.07,"M",2017
"BOGLK",2017-03-29,416.07,"M",2017
"BOGLK",2017-03-30,416.06,"M",2017
"BOGLK",2017-03-31,416.06,"M",2017
"BOGLK",2017-04-01,416.06,"M",2017
"BOGLK",2017-04-02,416.06,"M",2017
"BOGLK",2017-04-03,416.05,"M",2017
"BOGLK",2017-04-04,416.05,"M",2017
"BOGLK",2017-04-05,416.04,"M",2017
"BOGLK",2017-04-06,416.04,"M",2017
"BOGLK",2017-04-07,416.03,"M",2017
"BOGLK",2017-04-08,416.03,"M",2017
"BOGLK",2017-04-09,416.02,"M",2017
"BOGLK",2017-04-10,416.02,"M",2017
"BOGLK",2017-04-11,416.02,"M",2017
"BOGLK",2017-04-12,416.01,"M",2017
"BOGLK",2017-04-13,416.01,"M",2017
"BOGLK",2017-04-14,416.01,"M",2017
"BOGLK",2017-04-15,416,"M",2017
"BOGLK",2017-04-16,416,"M",2017
"BOGLK",2017-04-17,416,"M",2017
"BOGLK",2017-04-18,416.04,"M",2017
"BOGLK",2017-04-19,416.04,"M",2017
"BOGLK",2017-04-20,416.05,"M",2017
"BOGLK",2017-04-21,416.05,"M",2017
"BOGLK",2017-04-22,416.05,"M",2017
"BOGLK",2017-04-23,416.05,"M",2017
"BOGLK",2017-04-24,416.05,"M",2017
"BOGLK",2017-04-25,416.05,"M",2017
"BOGLK",2017-04-26,416.05,"M",2017
"BOGLK",2017-04-27,416.05,"M",2017
"BOGLK",2017-04-28,416.05,"M",2017
"BOGLK",2017-04-29,416.05,"M",2017
"BOGLK",2017-04-30,416.05,"M",2017
"BOGLK",2017-05-01,416.05,"M",2017
"BOGLK",2017-05-02,416.06,"M",2017
"BOGLK",2017-05-03,416.05,"M",2017
"BOGLK",2017-05-04,416.05,"M",2017
"BOGLK",2017-05-05,416.04,"M",2017
"BOGLK",2017-05-06,416.04,"M",2017
"BOGLK",2017-05-07,416.03,"M",2017
"BOGLK",2017-05-08,416.02,"M",2017
"BOGLK",2017-05-09,416.02,"M",2017
"BOGLK",2017-05-10,416.01,"M",2017
"BOGLK",2017-05-11,416,"M",2017
"BOGLK",2017-05-12,416,"M",2017
"BOGLK",2017-05-13,415.99,"M",2017
"BOGLK",2017-05-14,415.98,"M",2017
"BOGLK",2017-05-15,415.98,"M",2017
"BOGLK",2017-05-16,415.99,"M",2017
"BOGLK",2017-05-17,415.99,"M",2017
"BOGLK",2017-05-18,415.99,"M",2017
"BOGLK",2017-05-19,415.98,"M",2017
"BOGLK",2017-05-20,415.99,"M",2017
"BOGLK",2017-05-21,415.99,"M",2017
"BOGLK",2017-05-22,415.99,"M",2017
"BOGLK",2017-05-23,415.99,"M",2017
"BOGLK",2017-05-24,415.99,"M",2017
"BOGLK",2017-05-25,415.98,"M",2017
"BOGLK",2017-05-26,415.98,"M",2017
"BOGLK",2017-05-27,415.97,"M",2017
"BOGLK",2017-05-28,415.98,"M",2017
"BOGLK",2017-05-29,415.98,"M",2017
"BOGLK",2017-05-30,415.98,"M",2017
"BOGLK",2017-05-31,415.98,"M",2017
"BOGLK",2017-06-01,415.96,"M",2017
"BOGLK",2017-06-02,415.95,"M",2017
"BOGLK",2017-06-03,415.95,"M",2017
"BOGLK",2017-06-04,415.94,"M",2017
"BOGLK",2017-06-05,415.94,"M",2017
"BOGLK",2017-06-06,415.93,"M",2017
"BOGLK",2017-06-07,415.93,"M",2017
"BOGLK",2017-06-08,415.93,"M",2017
"BOGLK",2017-06-09,415.92,"M",2017
"BOGLK",2017-06-10,415.92,"M",2017
"BOGLK",2017-06-11,415.92,"M",2017
"BOGLK",2017-06-12,415.91,"M",2017
"BOGLK",2017-06-13,415.88,"M",2017
"BOGLK",2017-06-14,415.96,"M",2017
"BOGLK",2017-06-15,415.95,"M",2017
"BOGLK",2017-06-16,415.95,"M",2017
"BOGLK",2017-06-17,415.94,"M",2017
"BOGLK",2017-06-18,415.94,"M",2017
"BOGLK",2017-06-19,415.94,"M",2017
"BOGLK",2017-06-20,415.94,"M",2017
"BOGLK",2017-06-21,415.95,"M",2017
"BOGLK",2017-06-22,415.95,"M",2017
"BOGLK",2017-06-23,415.94,"M",2017
"BOGLK",2017-06-24,415.93,"M",2017
