"site","lab_id","name","collected","point_gage","stripchart_stage","logger_stage","year"
"S2",353257,"S2 WEIR",2017-04-04 11:45:00,0.238,0.241,0.25,"2017"
"S2",353267,"S2 WEIR",2017-04-11 09:50:00,0.167,0.172,0.184,"2017"
"S2",353278,"S2 WEIR",2017-04-17 09:55:00,0.122,0.123,0.142,"2017"
"S2",353289,"S2 WEIR",2017-04-19 14:15:00,0.256,0.261,0.278,"2017"
"S2",353291,"S2 WEIR",2017-04-24 08:40:00,0.191,0.191,0.22,"2017"
"S2",353326,"S2 WEIR",2017-05-02 13:05:00,0.196,0.2,NA,"2017"
"S2",353331,"S2 WEIR",2017-05-08 08:55:00,0.092,0.097,0.122,"2017"
"S2",353353,"S2 WEIR",2017-05-15 08:45:00,0.036,0.046,0.076,"2017"
"S2",353366,"S2 WEIR",2017-05-22 09:15:00,0.072,0.073,0.082,"2017"
"S2",353376,"S2 WEIR",2017-05-30 08:40:00,0.076,0.078,0.083,"2017"
"S2",353387,"S2 WEIR",2017-06-05 08:40:00,0.023,0.029,0.048,"2017"
"S2",353450,"S2 WEIR",2017-06-14 13:50:00,0.195,0.201,0.202,"2017"
"S2",353452,"S2 WEIR",2017-06-19 09:05:00,0.093,0.102,0.114,"2017"
"S2",353479,"S2 WEIR",2017-06-26 08:50:00,0.091,0.096,0.095,"2017"
"S2",353494,"S2 WEIR",2017-07-03 08:30:00,0.023,0.027,0.036,"2017"
"S2",353667,"S2 WEIR",2017-09-25 09:15:00,0.106,0.098,0.108,"2017"
"S2",353695,"S2 WEIR",2017-10-02 10:25:00,0.113,0.114,0.112,"2017"
"S2",353733,"S2 WEIR",2017-10-10 13:00:00,0.054,0.054,NA,"2017"
"S2",353740,"S2 WEIR",2017-10-16 10:20:00,0.041,0.046,0.052,"2017"
"S2",353755,"S2 WEIR",2017-10-23 13:00:00,0.054,0.053,0.066,"2017"
"S2",353796,"S2 WEIR",2017-10-31 10:45:00,NA,0.073,0.082,"2017"
"S2",353808,"S2 WEIR",2017-11-07 12:40:00,NA,0.06,NA,"2017"
"S2",353813,"S2 WEIR",2017-11-13 11:30:00,NA,0.032,NA,"2017"
"S2",353825,"S2 WEIR",2017-11-20 13:35:00,NA,0.033,0.05,"2017"
"S2",353833,"S2 WEIR",2017-11-27 12:25:00,NA,0.026,NA,"2017"
"S2",353917,"S2 WEIR",2018-04-25 10:55:00,0.265,0.262,NA,"2018"
"S2",353920,"S2 WEIR",2018-04-30 11:30:00,0.222,0.225,NA,"2018"
"S2",353932,"S2 WEIR",2018-05-07 10:35:00,0.153,0.156,0.226,"2018"
"S2",353942,"S2 WEIR",2018-05-14 09:50:00,0.105,0.111,0.184,"2018"
