"lab_id","collected","type","stream_height_ft"
353257,2017-04-04 11:45:00,"point_gage",0.238
353257,2017-04-04 11:45:00,"stripchart_stage",0.241
353267,2017-04-11 09:50:00,"point_gage",0.167
353267,2017-04-11 09:50:00,"stripchart_stage",0.172
353278,2017-04-17 09:55:00,"point_gage",0.122
353278,2017-04-17 09:55:00,"stripchart_stage",0.123
353289,2017-04-19 14:15:00,"point_gage",0.256
353289,2017-04-19 14:15:00,"stripchart_stage",0.261
353291,2017-04-24 08:40:00,"point_gage",0.191
353291,2017-04-24 08:40:00,"stripchart_stage",0.191
353326,2017-05-02 13:05:00,"point_gage",0.196
353326,2017-05-02 13:05:00,"stripchart_stage",0.2
353331,2017-05-08 08:55:00,"point_gage",0.092
353331,2017-05-08 08:55:00,"stripchart_stage",0.097
353353,2017-05-15 08:45:00,"point_gage",0.036
353353,2017-05-15 08:45:00,"stripchart_stage",0.046
353366,2017-05-22 09:15:00,"point_gage",0.072
353366,2017-05-22 09:15:00,"stripchart_stage",0.073
353376,2017-05-30 08:40:00,"point_gage",0.076
353376,2017-05-30 08:40:00,"stripchart_stage",0.078
353387,2017-06-05 08:40:00,"point_gage",0.023
353387,2017-06-05 08:40:00,"stripchart_stage",0.029
353450,2017-06-14 13:50:00,"point_gage",0.195
353450,2017-06-14 13:50:00,"stripchart_stage",0.201
353452,2017-06-19 09:05:00,"point_gage",0.093
353452,2017-06-19 09:05:00,"stripchart_stage",0.102
353479,2017-06-26 08:50:00,"point_gage",0.091
353479,2017-06-26 08:50:00,"stripchart_stage",0.096
353494,2017-07-03 08:30:00,"point_gage",0.023
353494,2017-07-03 08:30:00,"stripchart_stage",0.027
353667,2017-09-25 09:15:00,"point_gage",0.106
353667,2017-09-25 09:15:00,"stripchart_stage",0.098
353695,2017-10-02 10:25:00,"point_gage",0.113
353695,2017-10-02 10:25:00,"stripchart_stage",0.114
353733,2017-10-10 13:00:00,"point_gage",0.054
353733,2017-10-10 13:00:00,"stripchart_stage",0.054
353740,2017-10-16 10:20:00,"point_gage",0.041
353740,2017-10-16 10:20:00,"stripchart_stage",0.046
353755,2017-10-23 13:00:00,"point_gage",0.054
353755,2017-10-23 13:00:00,"stripchart_stage",0.053
353796,2017-10-31 10:45:00,"point_gage",NA
353796,2017-10-31 10:45:00,"stripchart_stage",0.073
353808,2017-11-07 12:40:00,"point_gage",NA
353808,2017-11-07 12:40:00,"stripchart_stage",0.06
353813,2017-11-13 11:30:00,"point_gage",NA
353813,2017-11-13 11:30:00,"stripchart_stage",0.032
353825,2017-11-20 13:35:00,"point_gage",NA
353825,2017-11-20 13:35:00,"stripchart_stage",0.033
353833,2017-11-27 12:25:00,"point_gage",NA
353833,2017-11-27 12:25:00,"stripchart_stage",0.026
226333,2017-12-04 13:00:00,"point_gage",NA
226333,2017-12-04 13:00:00,"stripchart_stage",NA
353858,2017-12-11 11:40:00,"point_gage",NA
353858,2017-12-11 11:40:00,"stripchart_stage",NA
353917,2018-04-25 10:55:00,"point_gage",0.265
353917,2018-04-25 10:55:00,"stripchart_stage",0.262
227064,2018-04-30 09:40:00,"point_gage",0.221
227064,2018-04-30 09:40:00,"stripchart_stage",NA
353920,2018-04-30 11:30:00,"point_gage",0.222
353920,2018-04-30 11:30:00,"stripchart_stage",0.225
353932,2018-05-07 10:35:00,"point_gage",0.153
353932,2018-05-07 10:35:00,"stripchart_stage",0.156
227080,2018-05-14 09:00:00,"point_gage",0.108
227080,2018-05-14 09:00:00,"stripchart_stage",NA
353942,2018-05-14 09:50:00,"point_gage",0.105
353942,2018-05-14 09:50:00,"stripchart_stage",0.111
353990,2018-05-21 13:20:00,"point_gage",0.094
353990,2018-05-21 13:20:00,"stripchart_stage",NA
353993,2018-05-25 10:45:00,"point_gage",0.101
353993,2018-05-25 10:45:00,"stripchart_stage",0.102
353996,2018-05-29 12:00:00,"point_gage",0.067
353996,2018-05-29 12:00:00,"stripchart_stage",0.07
227100,2018-05-29 13:50:00,"point_gage",0.164
227100,2018-05-29 13:50:00,"stripchart_stage",NA
354009,2018-06-04 10:40:00,"point_gage",0.195
354009,2018-06-04 10:40:00,"stripchart_stage",0.197
354021,2018-06-12 10:50:00,"point_gage",0.141
354021,2018-06-12 10:50:00,"stripchart_stage",0.14
354035,2018-06-18 13:10:00,"point_gage",0.232
354035,2018-06-18 13:10:00,"stripchart_stage",0.233
354042,2018-06-25 10:30:00,"point_gage",0.054
354042,2018-06-25 10:30:00,"stripchart_stage",0.057
354057,2018-07-02 12:50:00,"point_gage",0.134
354057,2018-07-02 12:50:00,"stripchart_stage",0.133
354066,2018-07-03 14:00:00,"point_gage",0.348
354066,2018-07-03 14:00:00,"stripchart_stage",0.352
354069,2018-07-09 10:50:00,"point_gage",0.141
354069,2018-07-09 10:50:00,"stripchart_stage",0.148
227168,2018-07-09 11:05:00,"point_gage",0.141
227168,2018-07-09 11:05:00,"stripchart_stage",NA
354077,2018-07-16 09:40:00,"point_gage",0.05
354077,2018-07-16 09:40:00,"stripchart_stage",0.039
354115,2018-07-23 09:40:00,"point_gage",0.04
354115,2018-07-23 09:40:00,"stripchart_stage",0.028
227180,2018-07-23 10:05:00,"point_gage",0.04
227180,2018-07-23 10:05:00,"stripchart_stage",NA
354225,2018-10-02 10:00:00,"point_gage",0.04
