"datetime","precip_in","year","date","precip_10_in"
2017-01-01 00:00:00,0,2017,"2017-01-01",0
2017-01-01 12:00:00,0,2017,"2017-01-01",0
2017-01-02 00:00:00,0.3,2017,"2017-01-02",0.03
2017-01-02 12:00:00,0.42,2017,"2017-01-02",0.042
2017-01-03 00:00:00,0.41,2017,"2017-01-03",0.041
2017-01-03 12:00:00,0,2017,"2017-01-03",0
2017-01-04 00:00:00,0,2017,"2017-01-04",0
2017-01-04 12:00:00,0,2017,"2017-01-04",0
2017-01-05 00:00:00,0,2017,"2017-01-05",0
2017-01-05 12:00:00,0,2017,"2017-01-05",0
2017-01-06 00:00:00,0,2017,"2017-01-06",0
2017-01-06 12:00:00,0,2017,"2017-01-06",0
2017-01-07 00:00:00,0,2017,"2017-01-07",0
2017-01-07 12:00:00,0,2017,"2017-01-07",0
2017-01-08 00:00:00,0,2017,"2017-01-08",0
2017-01-08 12:00:00,0.24,2017,"2017-01-08",0.024
2017-01-09 00:00:00,0,2017,"2017-01-09",0
2017-01-09 12:00:00,0.12,2017,"2017-01-09",0.012
2017-01-10 00:00:00,0.79,2017,"2017-01-10",0.079
2017-01-10 12:00:00,0.06,2017,"2017-01-10",0.006
2017-01-11 00:00:00,0.12,2017,"2017-01-11",0.012
2017-01-11 12:00:00,0,2017,"2017-01-11",0
2017-01-12 00:00:00,0,2017,"2017-01-12",0
2017-01-12 12:00:00,0,2017,"2017-01-12",0
2017-01-13 00:00:00,0,2017,"2017-01-13",0
2017-01-13 12:00:00,0,2017,"2017-01-13",0
2017-01-14 00:00:00,0,2017,"2017-01-14",0
2017-01-14 12:00:00,0,2017,"2017-01-14",0
2017-01-15 00:00:00,0,2017,"2017-01-15",0
2017-01-15 12:00:00,0,2017,"2017-01-15",0
2017-01-16 00:00:00,0,2017,"2017-01-16",0
2017-01-16 12:00:00,0,2017,"2017-01-16",0
2017-01-17 00:00:00,0,2017,"2017-01-17",0
2017-01-17 12:00:00,0,2017,"2017-01-17",0
2017-01-18 00:00:00,0,2017,"2017-01-18",0
2017-01-18 12:00:00,0,2017,"2017-01-18",0
2017-01-19 00:00:00,0,2017,"2017-01-19",0
2017-01-19 12:00:00,0,2017,"2017-01-19",0
2017-01-20 00:00:00,0.03,2017,"2017-01-20",0.003
2017-01-20 12:00:00,0.4,2017,"2017-01-20",0.04
2017-01-21 00:00:00,0,2017,"2017-01-21",0
2017-01-21 12:00:00,0,2017,"2017-01-21",0
2017-01-22 00:00:00,0,2017,"2017-01-22",0
2017-01-22 12:00:00,0,2017,"2017-01-22",0
2017-01-23 00:00:00,0,2017,"2017-01-23",0
2017-01-23 12:00:00,0,2017,"2017-01-23",0
2017-01-24 00:00:00,0,2017,"2017-01-24",0
2017-01-24 12:00:00,0,2017,"2017-01-24",0
2017-01-25 00:00:00,0,2017,"2017-01-25",0
2017-01-25 12:00:00,0,2017,"2017-01-25",0
2017-01-26 00:00:00,0,2017,"2017-01-26",0
2017-01-26 12:00:00,0,2017,"2017-01-26",0
2017-01-27 00:00:00,0,2017,"2017-01-27",0
2017-01-27 12:00:00,0,2017,"2017-01-27",0
2017-01-28 00:00:00,0,2017,"2017-01-28",0
2017-01-28 12:00:00,0,2017,"2017-01-28",0
2017-01-29 00:00:00,0,2017,"2017-01-29",0
2017-01-29 12:00:00,0,2017,"2017-01-29",0
2017-01-30 00:00:00,0.57,2017,"2017-01-30",0.057
2017-01-30 12:00:00,0.73,2017,"2017-01-30",0.073
2017-01-31 00:00:00,0.24,2017,"2017-01-31",0.024
2017-01-31 12:00:00,0.06,2017,"2017-01-31",0.006
2017-02-01 00:00:00,0,2017,"2017-02-01",0
2017-02-01 12:00:00,0,2017,"2017-02-01",0
2017-02-02 00:00:00,0,2017,"2017-02-02",0
2017-02-02 12:00:00,0,2017,"2017-02-02",0
2017-02-03 00:00:00,0,2017,"2017-02-03",0
2017-02-03 12:00:00,0,2017,"2017-02-03",0
2017-02-04 00:00:00,0.06,2017,"2017-02-04",0.006
2017-02-04 12:00:00,0.18,2017,"2017-02-04",0.018
2017-02-05 00:00:00,0,2017,"2017-02-05",0
2017-02-05 12:00:00,0.21,2017,"2017-02-05",0.021
2017-02-06 00:00:00,0,2017,"2017-02-06",0
2017-02-06 12:00:00,0,2017,"2017-02-06",0
2017-02-07 00:00:00,0.68,2017,"2017-02-07",0.068
2017-02-07 12:00:00,0.11,2017,"2017-02-07",0.011
2017-02-08 00:00:00,0,2017,"2017-02-08",0
2017-02-08 12:00:00,0,2017,"2017-02-08",0
2017-02-09 00:00:00,0,2017,"2017-02-09",0
2017-02-09 12:00:00,0,2017,"2017-02-09",0
2017-02-10 00:00:00,0.17,2017,"2017-02-10",0.017
2017-02-10 12:00:00,0,2017,"2017-02-10",0
2017-02-11 00:00:00,0,2017,"2017-02-11",0
2017-02-11 12:00:00,0,2017,"2017-02-11",0
2017-02-12 00:00:00,0,2017,"2017-02-12",0
2017-02-12 12:00:00,0,2017,"2017-02-12",0
2017-02-13 00:00:00,0,2017,"2017-02-13",0
2017-02-13 12:00:00,0,2017,"2017-02-13",0
2017-02-14 00:00:00,0,2017,"2017-02-14",0
2017-02-14 12:00:00,0,2017,"2017-02-14",0
2017-02-15 00:00:00,0,2017,"2017-02-15",0
2017-02-15 12:00:00,0,2017,"2017-02-15",0
2017-02-16 00:00:00,0,2017,"2017-02-16",0
2017-02-16 12:00:00,0,2017,"2017-02-16",0
2017-02-17 00:00:00,0,2017,"2017-02-17",0
2017-02-17 12:00:00,0,2017,"2017-02-17",0
2017-02-18 00:00:00,0,2017,"2017-02-18",0
2017-02-18 12:00:00,0,2017,"2017-02-18",0
2017-02-19 00:00:00,0,2017,"2017-02-19",0
2017-02-19 12:00:00,0,2017,"2017-02-19",0
2017-02-20 00:00:00,0,2017,"2017-02-20",0
2017-02-20 12:00:00,1.83,2017,"2017-02-20",0.183
2017-02-21 00:00:00,0,2017,"2017-02-21",0
2017-02-21 12:00:00,0,2017,"2017-02-21",0
2017-02-22 00:00:00,0,2017,"2017-02-22",0
