"datetime","stripchart_stage","year","date","types","stream_height_ft","approx"
2017-04-04 11:45:00,0.241,"2017",2017-04-04,"stripchart_stage",0.241,0.241
2017-04-04 11:45:00,0.241,"2017",2017-04-04,"stream_height_ft",NA,0.2065
2017-04-11 09:50:00,0.172,"2017",2017-04-11,"stripchart_stage",0.172,0.172
2017-04-11 09:50:00,0.172,"2017",2017-04-11,"stream_height_ft",NA,0.1475
2017-04-17 09:55:00,0.123,"2017",2017-04-17,"stripchart_stage",0.123,0.123
2017-04-17 09:55:00,0.123,"2017",2017-04-17,"stream_height_ft",NA,0.192
2017-04-19 14:15:00,0.261,"2017",2017-04-19,"stripchart_stage",0.261,0.261
2017-04-19 14:15:00,0.261,"2017",2017-04-19,"stream_height_ft",NA,0.226
2017-04-24 08:40:00,0.191,"2017",2017-04-24,"stripchart_stage",0.191,0.191
2017-04-24 08:40:00,0.191,"2017",2017-04-24,"stream_height_ft",NA,0.1955
2017-05-02 13:05:00,0.2,"2017",2017-05-02,"stripchart_stage",0.2,0.2
2017-05-02 13:05:00,0.2,"2017",2017-05-02,"stream_height_ft",NA,0.1485
2017-05-08 08:55:00,0.097,"2017",2017-05-08,"stripchart_stage",0.097,0.097
2017-05-08 08:55:00,0.097,"2017",2017-05-08,"stream_height_ft",NA,0.0715
2017-05-15 08:45:00,0.046,"2017",2017-05-15,"stripchart_stage",0.046,0.046
2017-05-15 08:45:00,0.046,"2017",2017-05-15,"stream_height_ft",NA,0.0595
2017-05-22 09:15:00,0.073,"2017",2017-05-22,"stripchart_stage",0.073,0.073
2017-05-22 09:15:00,0.073,"2017",2017-05-22,"stream_height_ft",NA,0.0755
2017-05-30 08:40:00,0.078,"2017",2017-05-30,"stripchart_stage",0.078,0.078
2017-05-30 08:40:00,0.078,"2017",2017-05-30,"stream_height_ft",NA,0.0535
2017-06-05 08:40:00,0.029,"2017",2017-06-05,"stripchart_stage",0.029,0.029
2017-06-05 08:40:00,0.029,"2017",2017-06-05,"stream_height_ft",NA,0.115
2017-06-14 13:50:00,0.201,"2017",2017-06-14,"stripchart_stage",0.201,0.201
2017-06-14 13:50:00,0.201,"2017",2017-06-14,"stream_height_ft",NA,0.1515
2017-06-19 09:05:00,0.102,"2017",2017-06-19,"stripchart_stage",0.102,0.102
2017-06-19 09:05:00,0.102,"2017",2017-06-19,"stream_height_ft",NA,0.099
2017-06-26 08:50:00,0.096,"2017",2017-06-26,"stripchart_stage",0.096,0.096
2017-06-26 08:50:00,0.096,"2017",2017-06-26,"stream_height_ft",NA,0.0615
2017-07-03 08:30:00,0.027,"2017",2017-07-03,"stripchart_stage",0.027,0.027
2017-07-03 08:30:00,0.027,"2017",2017-07-03,"stream_height_ft",NA,0.0625
2017-09-25 09:15:00,0.098,"2017",2017-09-25,"stripchart_stage",0.098,0.098
2017-09-25 09:15:00,0.098,"2017",2017-09-25,"stream_height_ft",NA,0.106
2017-10-02 10:25:00,0.114,"2017",2017-10-02,"stripchart_stage",0.114,0.114
2017-10-02 10:25:00,0.114,"2017",2017-10-02,"stream_height_ft",NA,0.084
2017-10-10 13:00:00,0.054,"2017",2017-10-10,"stripchart_stage",0.054,0.054
2017-10-10 13:00:00,0.054,"2017",2017-10-10,"stream_height_ft",NA,0.05
2017-10-16 10:20:00,0.046,"2017",2017-10-16,"stripchart_stage",0.046,0.046
2017-10-16 10:20:00,0.046,"2017",2017-10-16,"stream_height_ft",NA,0.0495
2017-10-23 13:00:00,0.053,"2017",2017-10-23,"stripchart_stage",0.053,0.053
2017-10-23 13:00:00,0.053,"2017",2017-10-23,"stream_height_ft",NA,0.063
2017-10-31 10:45:00,0.073,"2017",2017-10-31,"stripchart_stage",0.073,0.073
2017-10-31 10:45:00,0.073,"2017",2017-10-31,"stream_height_ft",NA,0.0665
2017-11-07 12:40:00,0.06,"2017",2017-11-07,"stripchart_stage",0.06,0.06
2017-11-07 12:40:00,0.06,"2017",2017-11-07,"stream_height_ft",NA,0.046
2017-11-13 11:30:00,0.032,"2017",2017-11-13,"stripchart_stage",0.032,0.032
2017-11-13 11:30:00,0.032,"2017",2017-11-13,"stream_height_ft",NA,0.0325
2017-11-20 13:35:00,0.033,"2017",2017-11-20,"stripchart_stage",0.033,0.033
2017-11-20 13:35:00,0.033,"2017",2017-11-20,"stream_height_ft",NA,0.0295
2017-11-27 12:25:00,0.026,"2017",2017-11-27,"stripchart_stage",0.026,0.026
2017-11-27 12:25:00,0.026,"2017",2017-11-27,"stream_height_ft",NA,0.144
2018-04-25 10:55:00,0.262,"2018",2018-04-25,"stripchart_stage",0.262,0.262
2018-04-25 10:55:00,0.262,"2018",2018-04-25,"stream_height_ft",NA,0.2435
2018-04-30 11:30:00,0.225,"2018",2018-04-30,"stripchart_stage",0.225,0.225
2018-04-30 11:30:00,0.225,"2018",2018-04-30,"stream_height_ft",NA,0.1905
2018-05-07 10:35:00,0.156,"2018",2018-05-07,"stripchart_stage",0.156,0.156
2018-05-07 10:35:00,0.156,"2018",2018-05-07,"stream_height_ft",NA,0.1335
2018-05-14 09:50:00,0.111,"2018",2018-05-14,"stripchart_stage",0.111,0.111
2018-05-14 09:50:00,0.111,"2018",2018-05-14,"stream_height_ft",NA,0.1065
2018-05-25 10:45:00,0.102,"2018",2018-05-25,"stripchart_stage",0.102,0.102
2018-05-25 10:45:00,0.102,"2018",2018-05-25,"stream_height_ft",NA,0.086
2018-05-29 12:00:00,0.07,"2018",2018-05-29,"stripchart_stage",0.07,0.07
2018-05-29 12:00:00,0.07,"2018",2018-05-29,"stream_height_ft",NA,0.1335
2018-06-04 10:40:00,0.197,"2018",2018-06-04,"stripchart_stage",0.197,0.197
2018-06-04 10:40:00,0.197,"2018",2018-06-04,"stream_height_ft",NA,0.1685
2018-06-12 10:50:00,0.14,"2018",2018-06-12,"stripchart_stage",0.14,0.14
2018-06-12 10:50:00,0.14,"2018",2018-06-12,"stream_height_ft",NA,0.1865
2018-06-18 13:10:00,0.233,"2018",2018-06-18,"stripchart_stage",0.233,0.233
2018-06-18 13:10:00,0.233,"2018",2018-06-18,"stream_height_ft",NA,0.145
2018-06-25 10:30:00,0.057,"2018",2018-06-25,"stripchart_stage",0.057,0.057
2018-06-25 10:30:00,0.057,"2018",2018-06-25,"stream_height_ft",NA,0.095
2018-07-02 12:50:00,0.133,"2018",2018-07-02,"stripchart_stage",0.133,0.133
2018-07-02 12:50:00,0.133,"2018",2018-07-02,"stream_height_ft",NA,0.2425
2018-07-03 14:00:00,0.352,"2018",2018-07-03,"stripchart_stage",0.352,0.352
2018-07-03 14:00:00,0.352,"2018",2018-07-03,"stream_height_ft",NA,0.25
2018-07-09 10:50:00,0.148,"2018",2018-07-09,"stripchart_stage",0.148,0.148
2018-07-09 10:50:00,0.148,"2018",2018-07-09,"stream_height_ft",NA,0.0935
2018-07-16 09:40:00,0.039,"2018",2018-07-16,"stripchart_stage",0.039,0.039
2018-07-16 09:40:00,0.039,"2018",2018-07-16,"stream_height_ft",NA,0.0335
2018-07-23 09:40:00,0.028,"2018",2018-07-23,"stripchart_stage",0.028,0.028
2018-07-23 09:40:00,0.028,"2018",2018-07-23,"stream_height_ft",NA,0.0345
2018-10-02 10:00:00,0.041,"2018",2018-10-02,"stripchart_stage",0.041,0.041
2018-10-02 10:00:00,0.041,"2018",2018-10-02,"stream_height_ft",NA,0.1325
2018-10-11 10:40:00,0.224,"2018",2018-10-11,"stripchart_stage",0.224,0.224
2018-10-11 10:40:00,0.224,"2018",2018-10-11,"stream_height_ft",NA,0.1745
2018-10-15 10:45:00,0.125,"2018",2018-10-15,"stripchart_stage",0.125,0.125
2018-10-15 10:45:00,0.125,"2018",2018-10-15,"stream_height_ft",NA,0.098
2018-10-22 10:40:00,0.071,"2018",2018-10-22,"stripchart_stage",0.071,0.071
2018-10-22 10:40:00,0.071,"2018",2018-10-22,"stream_height_ft",NA,0.125
2018-10-29 12:50:00,0.179,"2018",2018-10-29,"stripchart_stage",0.179,0.179
2018-10-29 12:50:00,0.179,"2018",2018-10-29,"stream_height_ft",NA,0.107
2018-11-14 11:40:00,0.035,"2018",2018-11-14,"stripchart_stage",0.035,0.035
2018-11-14 11:40:00,0.035,"2018",2018-11-14,"stream_height_ft",NA,0.0325
2018-11-19 10:10:00,0.03,"2018",2018-11-19,"stripchart_stage",0.03,0.03
2018-11-19 10:10:00,0.03,"2018",2018-11-19,"stream_height_ft",NA,0.027
2018-11-26 11:45:00,0.024,"2018",2018-11-26,"stripchart_stage",0.024,0.024
2018-11-26 11:45:00,0.024,"2018",2018-11-26,"stream_height_ft",NA,0.0385
2019-03-14 13:30:00,0.053,"2019",2019-03-14,"stripchart_stage",0.053,0.053
2019-03-14 13:30:00,0.053,"2019",2019-03-14,"stream_height_ft",NA,0.0415
2019-03-18 12:05:00,0.03,"2019",2019-03-18,"stripchart_stage",0.03,0.03
2019-03-18 12:05:00,0.03,"2019",2019-03-18,"stream_height_ft",NA,0.0185
2019-03-25 12:15:00,0.007,"2019",2019-03-25,"stripchart_stage",0.007,0.007
2019-03-25 12:15:00,0.007,"2019",2019-03-25,"stream_height_ft",NA,0.0985
2019-04-01 12:35:00,0.19,"2019",2019-04-01,"stripchart_stage",0.19,0.19
2019-04-01 12:35:00,0.19,"2019",2019-04-01,"stream_height_ft",NA,0.235
